,publishtime,code,title,pdfurl
65,2016-12-06,603727,徕木股份：-博迈科关于使用募集资金置换预先投入募投项目自筹资金的公告,http://xinpi.cnstock.com/FileView.aspx?Code=5CE5FD53E1E201177BA51D3880441117
66,2016-12-06,603727,徕木股份：-博迈科第二届董事会第七次会议决议,http://xinpi.cnstock.com/FileView.aspx?Code=ABA04B0FB57E83287C7F39CFA54D236A
67,2016-12-06,603727,徕木股份：-博迈科独立董事关于公司第二届董事会第七次会议相关事项的独立意见,http://xinpi.cnstock.com/FileView.aspx?Code=E2FE3A77C88D647FCD2A9517AC13CA94
68,2016-12-06,603727,徕木股份：-博迈科独立董事关于公司第二届董事会第七次会议相关事项的独立意见,http://xinpi.cnstock.com/FileView.aspx?Code=FB4CF1F5548AFB6ED2DE852699FF8F86
69,2016-12-06,603727,徕木股份：-博迈科：华林证券股份有限公司关于博迈科海洋工程股份有限公司使用募集资金对子公司增资之保荐机构核查意见,http://xinpi.cnstock.com/FileView.aspx?Code=5E80ABA34AE33E70BF07AF209A2F84CC
70,2016-12-06,603727,徕木股份：-博迈科第二届董事会第七次会议决议,http://xinpi.cnstock.com/FileView.aspx?Code=E4994728BB9AB5718A4E644972B0111E
71,2016-12-06,603727,徕木股份：-博迈科第二届监事会第四次会议决议,http://xinpi.cnstock.com/FileView.aspx?Code=87B4E06F2E359B8975B883A21DEE9970
72,2016-12-06,603727,徕木股份：-博迈科：华林证券股份有限公司关于博迈科海洋工程股份有限公司使用募集资金置换先期投入之保荐机构核查意见,http://xinpi.cnstock.com/FileView.aspx?Code=58E0CC03D5F53A43B706FDC5F783A86E
73,2016-12-06,603727,徕木股份：-博迈科关于使用募集资金向子公司增资的公告,http://xinpi.cnstock.com/FileView.aspx?Code=C4F82765D3CB65521A5001359F4C6A57
74,2016-12-06,603727,徕木股份：-博迈科第二届监事会第四次会议决议公告,http://xinpi.cnstock.com/FileView.aspx?Code=E6B85EE56278F6C0885F6EA643F1F73A
75,2016-12-06,000043,中航地产：所属地产相关业务资产重组整合涉及之江西中航地产有限责任公司持有的南昌中航国际广场二期项目资产评估报告,http://xinpi.cnstock.com/FileView.aspx?Code=E32B587AF66B6E1ED377E2823CEDF382
76,2016-12-06,000043,中航地产：所属地产相关业务资产重组整合涉及之成都航逸置业有限公司资产评估报告,http://xinpi.cnstock.com/FileView.aspx?Code=198ED2653BE75AB48EA8A144E1FB76F0
77,2016-12-06,002721,金一文化：深圳市贵天钻石有限公司盈利预测审核报告,http://xinpi.cnstock.com/FileView.aspx?Code=02E13B75C06A50060DDE2939F95C32A1
78,2016-12-06,002721,金一文化：深圳市贵天钻石有限公司审计报告,http://xinpi.cnstock.com/FileView.aspx?Code=3AE710FB7172BFDE6E83F4D0C204891A
79,2016-12-06,002721,金一文化：招商证券股份有限公司关于公司相关事项的核查意见,http://xinpi.cnstock.com/FileView.aspx?Code=90B03F71CBC5BADC2B69603BC09499C1
80,2016-12-06,002721,金一文化：招商证券股份有限公司关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易之独立财务顾问报告,http://xinpi.cnstock.com/FileView.aspx?Code=73515EC2463BAB2677AFBC7182813B76
81,2016-12-06,002721,金一文化：审计报告,http://xinpi.cnstock.com/FileView.aspx?Code=32AB2CEFF6FAC95C298F08530A55E883
82,2016-12-06,002721,金一文化：臻宝通（深圳）互联网科技股份有限公司2016年度、2017年度盈利预测审核报告,http://xinpi.cnstock.com/FileView.aspx?Code=1E26E4DB59B4795A4A529A661C772997
83,2016-12-06,002721,金一文化：深圳市捷夫珠宝有限公司审核报告,http://xinpi.cnstock.com/FileView.aspx?Code=667C770616DE9D63FE82091EC6FAD4E0
84,2016-12-06,002721,金一文化：深圳市金艺珠宝有限公司2016年度、2017年度盈利预测审核报告,http://xinpi.cnstock.com/FileView.aspx?Code=A21467824577DD44B540971EEF48D1E2
85,2016-12-06,002721,金一文化：臻宝通（深圳）互联网科技股份有限公司2016年1-9月、2015年度、2014年度审计报告,http://xinpi.cnstock.com/FileView.aspx?Code=42FBA5D88CD0F0927D7778CB22D42A8B
86,2016-12-06,002721,金一文化：深圳市捷夫珠宝有限公司审计报告,http://xinpi.cnstock.com/FileView.aspx?Code=6E680F89DDE983D47C6711D66B02AD04
87,2016-12-06,002721,金一文化：深圳市金艺珠宝有限公司2016年1-9月、2015年度、2014年度审计报告,http://xinpi.cnstock.com/FileView.aspx?Code=53E8946E3A3E89278DFAFD4074574F42
88,2016-12-06,002721,金一文化：关于召开2016年第八次临时股东大会的通知,http://xinpi.cnstock.com/FileView.aspx?Code=43C7AD7BB6A4BC8A0B7122B0CCFBF33D
89,2016-12-06,002721,金一文化：简式权益变动报告书,http://xinpi.cnstock.com/FileView.aspx?Code=190E2202489C172C888905AF7E4851AB
90,2016-12-06,002721,金一文化：拟发行股份及支付现金购买深圳市金艺珠宝有限公司100%股权项目深圳市金艺珠宝有限公司股东全部权益价值资产评估报告,http://xinpi.cnstock.com/FileView.aspx?Code=D2EFE4ED485E8AB6F49284F4D14D560A
91,2016-12-06,002721,金一文化：公司章程（2016年12月）,http://xinpi.cnstock.com/FileView.aspx?Code=707ED19D31462C051B9E97CD4DF2D287
92,2016-12-06,002721,金一文化：南京宝庆尚品珠宝连锁有限公司审计报告,http://xinpi.cnstock.com/FileView.aspx?Code=2C353751045D451F0E721E7A8BA67554
93,2016-12-06,002721,金一文化：关于本次重大资产重组摊薄即期回报的填补措施及承诺事项的公告,http://xinpi.cnstock.com/FileView.aspx?Code=AB7D4ACBEDF58919AAC4D96D43C20B4F
94,2016-12-06,002721,金一文化：关于提供信息的真实性、准确性和完整性的承诺函,http://xinpi.cnstock.com/FileView.aspx?Code=A3199EF03705BCBA5A1676C485C8C9FD
95,2016-12-06,002721,金一文化：关于拟变更注册地址并修订《公司章程》的公告,http://xinpi.cnstock.com/FileView.aspx?Code=B1AC8A7DBC483CBE1F828DA9F094D926
96,2016-12-06,002721,金一文化：关于重大资产重组一般风险提示暨暂不复牌的公告,http://xinpi.cnstock.com/FileView.aspx?Code=E41352E1E0427805836F338E4362E781
97,2016-12-06,002721,金一文化：发行股份及支付现金购买臻宝通（深圳）互联网科技股份有限公司99.06%股权项目臻宝通（深圳）互联网科技股份有限公司股东全部权益价值资产评估报告,http://xinpi.cnstock.com/FileView.aspx?Code=7E022AA86E966A9175AF0DCFEF8A4CCF
98,2016-12-06,002721,金一文化：拟发行股份及支付现金购买深圳市捷夫珠宝有限公司100%股权项目深圳市捷夫珠宝有限公司股东全部权益价值资产评估报告,http://xinpi.cnstock.com/FileView.aspx?Code=9687E3F6CAEAEC61DFBD57C57BACD319
99,2016-12-06,002721,金一文化：南京宝庆尚品珠宝连锁有限公司盈利预测审核报告,http://xinpi.cnstock.com/FileView.aspx?Code=360C6E15F91FE5ADE2F8A7DDE9F2F67B
